Job Title,Company,Job Description
"Senior QA Engineer , Software",Light & Wonder,Non-engineer roles that are primarily performing audits and tests of software products ...
Catalog Quality & AI Automation Manager,Xoxoday,Manage and maintain high-quality product catalogs across various platforms. Develop an...
IN_Manager_QA Automation_Data and Analytics_Advisory_Bangalore,PwC Service Delivery Center,Automation Tools : 6+ years of production experience building frameworks specifically w...
Senior Quantitative Model Solutions Specialist,Wells Fargo,"Proven experience in developing Automated Testing Frameworks in python using Pytest / Selenium. . Good understanding of Database concepts,DB testing and writing SQL queries. . Job Expectations . Experience in Finance / Credit/Banking Modelling with a strong understanding of industry specific SDLC processes."
Senior Quality Assurance Engineer,Tata Consultancy Services,"Senior Quality Assurance EngineerExperience: 5+ yearsLocation: Bengaluru, Karnataka Req..."
QA Tester with AI,Tekskills India,"Minimum experience: . At least 4 years of experience in software quality assurance, wit..."
Senior QA Automation Engineer (Playwright + Cursor AI),CGI,"Position Description: Company Profile:Founded in 1976, CGI is among the largest indep..."
Cypress Automation Tester,GSR Business Services,Job DescriptionBrief DescriptionWe look for self-starters who thrive in fast-paced agi...
SDET Automation Test Engineer,Apexon,"Analyze test results,identify defects,and report issues to stakeholders. Job Requirements : . 5-8 years of experience in software development or quality assurance with a focus on automation testing"
C# and OOP concepts Expert_BAX,Larsen & Toubro (L&T),Hands-on experience with Selenium and Appium automation frameworks Hands-on experience ...
Quality Engineer,Grid Dynamics,Required Skills (Important) . Strong knowledge of JavaScript and Java We are looking fo...
INFOSYS_ API Tester_ Pune/BLR/Noida/CHN/HYD /TVM,Infosys,Required Skills and Qualifications Extensive experience with Selenium WebDriver for web...
IN_Senior Associate_QA Automation_Data and Analytics,PwC Service Delivery Center,Years of experience. Years of experience required: 4-8. Disclaimer: This job posting ha...
playwright Automation Tester,HCLTech,"Mandatory Skills - Playwright, JavaScript, Typescript Detail JD - Playwright, JavaScrip..."
QA Automation Engineer,Siemens Healthcare,Experience with Git / GitHub and CI / CD practicesPreferred Candidate Profile Strong ex...
QA Automation + EDI Test Engineer(US Healthcare),kezan,"The candidate should have strong knowledge of healthcare EDI transactions, API testing,..."
"Qa Engineer ( Playwright , Rest Assured API automation testing)",MNC Group,"Position Name- QA automation(Playwright , Rest Api)Location: PAN india"
QA Automation Engineer (Playwright) | Bangalore| 4 To 10 Years,Tata Consultancy Services,Role & responsibilities Role: QA Automation Engineer Location: Bangalore Experience: 4 ...
Sr. SDET,Tata Consultancy Services,Required Skills Minimum 5 years of related work experience
"QA Automation Engineer, Professional Services R&D",Okta,Solid understanding of CI / CD principles and experience integrating tests into pipelin...
QA Automation Engineer (Camera Testing),Larsen & Toubro (L&T),Preferred candidate profile . .
Lead QA Automation Engineer (Playwright + Cursor AI),CGI,"Position Description: Company Profile:Founded in 1976, CGI is among the largest indep..."
